trial_id,family_id,dataset_id,symbol,timeframe,model_id,comparator_model,outcome,horizon_bars,metric,paired_observations,estimate,bootstrap_lower,bootstrap_upper,unadjusted_two_sided_p,bootstrap_replications,mean_block_origins,decision_eligible,interpretation,benjamini_hochberg_q,holm_adjusted_p,planned_family_hypotheses,finite_family_tests
btc_usd_1d|market_field_raw_ridge|forward_return|h5|mae_difference_vs_technical_24_ridge,primary_development_family,btc_usd_1d,BTC-USD,1D,market_field_raw_ridge,technical_24_ridge,forward_return,5,mean_absolute_error_difference,110,0.0002469916382,-0.00255550282,0.003179672893,0.834,499,5,False,retrospective_development_diagnostic,0.834,1,8,8
gld_1d|market_field_raw_ridge|forward_return|h5|mae_difference_vs_technical_24_ridge,primary_development_family,gld_1d,GLD,1D,market_field_raw_ridge,technical_24_ridge,forward_return,5,mean_absolute_error_difference,61,0.001165794662,-0.0002131365526,0.002532804779,0.108,499,5,False,retrospective_development_diagnostic,0.1728,0.53,8,8
iwm_1d|market_field_raw_ridge|forward_return|h5|mae_difference_vs_technical_24_ridge,primary_development_family,iwm_1d,IWM,1D,market_field_raw_ridge,technical_24_ridge,forward_return,5,mean_absolute_error_difference,61,0.001432834678,2.522775642e-05,0.002983568467,0.058,499,5,False,retrospective_development_diagnostic,0.1546666667,0.348,8,8
qqq_1d|market_field_raw_ridge|forward_return|h5|mae_difference_vs_technical_24_ridge,primary_development_family,qqq_1d,QQQ,1D,market_field_raw_ridge,technical_24_ridge,forward_return,5,mean_absolute_error_difference,61,0.002771981255,0.0006604054689,0.005282419038,0.018,499,5,False,retrospective_development_diagnostic,0.072,0.126,8,8
spy_1d|market_field_raw_ridge|forward_return|h5|mae_difference_vs_technical_24_ridge,primary_development_family,spy_1d,SPY,1D,market_field_raw_ridge,technical_24_ridge,forward_return,5,mean_absolute_error_difference,61,0.00259014083,0.001236104782,0.0039525862,0.002,499,5,False,retrospective_development_diagnostic,0.016,0.016,8,8
tlt_1d|market_field_raw_ridge|forward_return|h5|mae_difference_vs_technical_24_ridge,primary_development_family,tlt_1d,TLT,1D,market_field_raw_ridge,technical_24_ridge,forward_return,5,mean_absolute_error_difference,61,0.0001923714774,-0.000778129484,0.001115701936,0.692,499,5,False,retrospective_development_diagnostic,0.834,1,8,8
uso_1d|market_field_raw_ridge|forward_return|h5|mae_difference_vs_technical_24_ridge,primary_development_family,uso_1d,USO,1D,market_field_raw_ridge,technical_24_ridge,forward_return,5,mean_absolute_error_difference,61,-0.002400510858,-0.005262505939,0.0004314836457,0.106,499,5,False,retrospective_development_diagnostic,0.1728,0.53,8,8
vnq_1d|market_field_raw_ridge|forward_return|h5|mae_difference_vs_technical_24_ridge,primary_development_family,vnq_1d,VNQ,1D,market_field_raw_ridge,technical_24_ridge,forward_return,5,mean_absolute_error_difference,61,0.0004261457957,-0.00284877603,0.003473600989,0.8,499,5,False,retrospective_development_diagnostic,0.834,1,8,8
btc_usd_1d|causal_change_point_ridge|forward_realized_variation|h1|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,technical_24_ridge,forward_realized_variation,1,mean_absolute_error_difference,110,0.0005522519816,4.112907667e-05,0.001113850899,0.044,499,5,False,retrospective_development_diagnostic,0.2724173913,1,712,712
btc_usd_1d|causal_change_point_ridge|forward_realized_variation|h5|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,technical_24_ridge,forward_realized_variation,5,mean_absolute_error_difference,110,0.001336213066,0.0001709621731,0.00259632964,0.032,499,5,False,retrospective_development_diagnostic,0.2348865979,1,712,712
btc_usd_1d|causal_change_point_ridge|forward_realized_variation|h20|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,technical_24_ridge,forward_realized_variation,20,mean_absolute_error_difference,109,0.002636809902,3.906451571e-05,0.005354241825,0.052,499,5,False,retrospective_development_diagnostic,0.2938412698,1,712,712
btc_usd_1d|causal_change_point_ridge|forward_return|h1|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,technical_24_ridge,forward_return,1,mean_absolute_error_difference,110,-0.0002247430383,-0.0006936283347,0.0002065206298,0.31,499,5,False,retrospective_development_diagnostic,0.7188681672,1,712,712
btc_usd_1d|causal_change_point_ridge|forward_return|h5|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,technical_24_ridge,forward_return,5,mean_absolute_error_difference,110,-0.00111912682,-0.003075583372,0.00091953191,0.274,499,5,False,retrospective_development_diagnostic,0.6821258741,1,712,712
btc_usd_1d|causal_change_point_ridge|forward_return|h20|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,technical_24_ridge,forward_return,20,mean_absolute_error_difference,109,0.001730380503,-0.003905876099,0.008437196499,0.57,499,5,False,retrospective_development_diagnostic,0.8671794872,1,712,712
btc_usd_1d|causal_change_point_ridge|pressure_aligned_maximum_adverse_excursion|h1|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,technical_24_ridge,pressure_aligned_maximum_adverse_excursion,1,mean_absolute_error_difference,110,4.141862829e-05,-0.0004521951435,0.0004693562878,0.902,499,5,False,retrospective_development_diagnostic,0.9925462304,1,712,712
btc_usd_1d|causal_change_point_ridge|pressure_aligned_maximum_adverse_excursion|h5|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,technical_24_ridge,pressure_aligned_maximum_adverse_excursion,5,mean_absolute_error_difference,110,-3.190146263e-05,-0.00114495849,0.001049142102,0.952,499,5,False,retrospective_development_diagnostic,0.9925462304,1,712,712
btc_usd_1d|causal_change_point_ridge|pressure_aligned_maximum_adverse_excursion|h20|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,technical_24_ridge,pressure_aligned_maximum_adverse_excursion,20,mean_absolute_error_difference,109,0.0005158030117,-0.001908109187,0.002870531846,0.69,499,5,False,retrospective_development_diagnostic,0.9217260788,1,712,712
btc_usd_1d|ema_12_24_ridge|forward_realized_variation|h1|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,technical_24_ridge,forward_realized_variation,1,mean_absolute_error_difference,110,0.000316288382,-0.0003599821274,0.001068894949,0.392,499,5,False,retrospective_development_diagnostic,0.7688815427,1,712,712
btc_usd_1d|ema_12_24_ridge|forward_realized_variation|h5|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,technical_24_ridge,forward_realized_variation,5,mean_absolute_error_difference,110,-7.845136985e-05,-0.001705180476,0.001430846665,0.928,499,5,False,retrospective_development_diagnostic,0.9925462304,1,712,712
btc_usd_1d|ema_12_24_ridge|forward_realized_variation|h20|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,technical_24_ridge,forward_realized_variation,20,mean_absolute_error_difference,109,0.0005845339965,-0.002725451206,0.003884527169,0.742,499,5,False,retrospective_development_diagnostic,0.9359151943,1,712,712
btc_usd_1d|ema_12_24_ridge|forward_return|h1|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,technical_24_ridge,forward_return,1,mean_absolute_error_difference,110,-0.0001498773121,-0.0003738869835,6.401484911e-05,0.18,499,5,False,retrospective_development_diagnostic,0.5476923077,1,712,712
btc_usd_1d|ema_12_24_ridge|forward_return|h5|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,technical_24_ridge,forward_return,5,mean_absolute_error_difference,110,-0.000790859954,-0.002226558011,0.0004534811548,0.258,499,5,False,retrospective_development_diagnostic,0.6655652174,1,712,712
btc_usd_1d|ema_12_24_ridge|forward_return|h20|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,technical_24_ridge,forward_return,20,mean_absolute_error_difference,109,-0.002343880363,-0.007207788805,0.001750739466,0.38,499,5,False,retrospective_development_diagnostic,0.76,1,712,712
btc_usd_1d|ema_12_24_ridge|pressure_aligned_maximum_adverse_excursion|h1|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,technical_24_ridge,pressure_aligned_maximum_adverse_excursion,1,mean_absolute_error_difference,110,4.894924803e-05,-0.0008193448487,0.000956684786,0.908,499,5,False,retrospective_development_diagnostic,0.9925462304,1,712,712
btc_usd_1d|ema_12_24_ridge|pressure_aligned_maximum_adverse_excursion|h5|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,technical_24_ridge,pressure_aligned_maximum_adverse_excursion,5,mean_absolute_error_difference,110,-0.0004763777628,-0.002098367993,0.0009082834893,0.514,499,5,False,retrospective_development_diagnostic,0.8517990868,1,712,712
btc_usd_1d|ema_12_24_ridge|pressure_aligned_maximum_adverse_excursion|h20|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,technical_24_ridge,pressure_aligned_maximum_adverse_excursion,20,mean_absolute_error_difference,109,-0.001885920454,-0.004859539903,0.0002688331632,0.158,499,5,False,retrospective_development_diagnostic,0.5208148148,1,712,712
btc_usd_1d|gaussian_hmm_2state|forward_realized_variation|h1|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,technical_24_ridge,forward_realized_variation,1,mean_absolute_error_difference,110,-0.0001368438385,-0.0009616568687,0.0005545559553,0.738,499,5,False,retrospective_development_diagnostic,0.9359151943,1,712,712
btc_usd_1d|gaussian_hmm_2state|forward_realized_variation|h5|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,technical_24_ridge,forward_realized_variation,5,mean_absolute_error_difference,110,-0.001418690693,-0.003263723829,0.0002085741938,0.132,499,5,False,retrospective_development_diagnostic,0.4675820896,1,712,712
btc_usd_1d|gaussian_hmm_2state|forward_realized_variation|h20|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,technical_24_ridge,forward_realized_variation,20,mean_absolute_error_difference,109,-0.0005937420099,-0.003623986902,0.002202964455,0.708,499,5,False,retrospective_development_diagnostic,0.9266470588,1,712,712
btc_usd_1d|gaussian_hmm_2state|forward_return|h1|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,technical_24_ridge,forward_return,1,mean_absolute_error_difference,110,-0.0001058549239,-0.0005946755104,0.0004184646635,0.696,499,5,False,retrospective_development_diagnostic,0.9245373134,1,712,712
btc_usd_1d|gaussian_hmm_2state|forward_return|h5|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,technical_24_ridge,forward_return,5,mean_absolute_error_difference,110,-0.001456080838,-0.003489374175,0.0004002263359,0.16,499,5,False,retrospective_development_diagnostic,0.5249769585,1,712,712
btc_usd_1d|gaussian_hmm_2state|forward_return|h20|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,technical_24_ridge,forward_return,20,mean_absolute_error_difference,109,-0.002923766621,-0.009114368137,0.003043540058,0.322,499,5,False,retrospective_development_diagnostic,0.7255189873,1,712,712
btc_usd_1d|gaussian_hmm_2state|pressure_aligned_maximum_adverse_excursion|h1|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,technical_24_ridge,pressure_aligned_maximum_adverse_excursion,1,mean_absolute_error_difference,110,-0.0009722698978,-0.002019968206,0.0001069662444,0.088,499,5,False,retrospective_development_diagnostic,0.3774457831,1,712,712
btc_usd_1d|gaussian_hmm_2state|pressure_aligned_maximum_adverse_excursion|h5|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,technical_24_ridge,pressure_aligned_maximum_adverse_excursion,5,mean_absolute_error_difference,110,-0.0001714247722,-0.001995295477,0.001823955674,0.852,499,5,False,retrospective_development_diagnostic,0.9765869219,1,712,712
btc_usd_1d|gaussian_hmm_2state|pressure_aligned_maximum_adverse_excursion|h20|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,technical_24_ridge,pressure_aligned_maximum_adverse_excursion,20,mean_absolute_error_difference,109,-0.0001938234523,-0.003578211048,0.003148811949,0.9,499,5,False,retrospective_development_diagnostic,0.9925462304,1,712,712
btc_usd_1d|market_field_dictionary|forward_realized_variation|h1|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,market_field_dictionary,technical_24_ridge,forward_realized_variation,1,mean_absolute_error_difference,110,0.0001275751091,-0.0006760601165,0.0009785476383,0.804,499,5,False,retrospective_development_diagnostic,0.9532757475,1,712,712
btc_usd_1d|market_field_dictionary|forward_realized_variation|h5|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,market_field_dictionary,technical_24_ridge,forward_realized_variation,5,mean_absolute_error_difference,110,-0.0005477971519,-0.002396990744,0.001261358506,0.574,499,5,False,retrospective_development_diagnostic,0.8695489362,1,712,712
btc_usd_1d|market_field_dictionary|forward_realized_variation|h20|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,market_field_dictionary,technical_24_ridge,forward_realized_variation,20,mean_absolute_error_difference,109,0.0001585594736,-0.003023184457,0.003605953939,0.93,499,5,False,retrospective_development_diagnostic,0.9925462304,1,712,712
btc_usd_1d|market_field_dictionary|forward_return|h1|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,market_field_dictionary,technical_24_ridge,forward_return,1,mean_absolute_error_difference,110,-0.0001587465767,-0.0006836124964,0.0003387828318,0.546,499,5,False,retrospective_development_diagnostic,0.8663716814,1,712,712
btc_usd_1d|market_field_dictionary|forward_return|h5|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,market_field_dictionary,technical_24_ridge,forward_return,5,mean_absolute_error_difference,110,-0.001368156166,-0.003153836591,0.0004325720412,0.122,499,5,False,retrospective_development_diagnostic,0.4595978836,1,712,712
btc_usd_1d|market_field_dictionary|forward_return|h20|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,market_field_dictionary,technical_24_ridge,forward_return,20,mean_absolute_error_difference,109,-0.002985735571,-0.009430735931,0.002526169665,0.27,499,5,False,retrospective_development_diagnostic,0.6817021277,1,712,712
btc_usd_1d|market_field_dictionary|pressure_aligned_maximum_adverse_excursion|h1|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,market_field_dictionary,technical_24_ridge,pressure_aligned_maximum_adverse_excursion,1,mean_absolute_error_difference,110,-7.457300524e-05,-0.0009575063483,0.0008910554867,0.87,499,5,False,retrospective_development_diagnostic,0.9785781991,1,712,712
btc_usd_1d|market_field_dictionary|pressure_aligned_maximum_adverse_excursion|h5|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,market_field_dictionary,technical_24_ridge,pressure_aligned_maximum_adverse_excursion,5,mean_absolute_error_difference,110,-0.0004092812291,-0.00201634099,0.001347348947,0.612,499,5,False,retrospective_development_diagnostic,0.89,1,712,712
btc_usd_1d|market_field_dictionary|pressure_aligned_maximum_adverse_excursion|h20|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,market_field_dictionary,technical_24_ridge,pressure_aligned_maximum_adverse_excursion,20,mean_absolute_error_difference,109,-0.0008692033747,-0.004575456213,0.002618669749,0.646,499,5,False,retrospective_development_diagnostic,0.9107960396,1,712,712
btc_usd_1d|market_field_minus_field_transform|forward_realized_variation|h1|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,market_field_minus_field_transform,technical_24_ridge,forward_realized_variation,1,mean_absolute_error_difference,110,0.0001692906569,-0.0005131088975,0.0007329820245,0.584,499,5,False,retrospective_development_diagnostic,0.8753852632,1,712,712
btc_usd_1d|market_field_minus_field_transform|forward_realized_variation|h5|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,market_field_minus_field_transform,technical_24_ridge,forward_realized_variation,5,mean_absolute_error_difference,110,0.0008822235892,-0.0003115949795,0.001897496987,0.116,499,5,False,retrospective_development_diagnostic,0.4464432432,1,712,712
btc_usd_1d|market_field_minus_field_transform|forward_realized_variation|h20|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,market_field_minus_field_transform,technical_24_ridge,forward_realized_variation,20,mean_absolute_error_difference,109,0.00208080103,-0.0009321244044,0.006049146864,0.244,499,5,False,retrospective_development_diagnostic,0.643437037,1,712,712
btc_usd_1d|market_field_minus_field_transform|forward_return|h1|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,market_field_minus_field_transform,technical_24_ridge,forward_return,1,mean_absolute_error_difference,110,0.0003441764964,-7.903840221e-05,0.0007584069529,0.098,499,5,False,retrospective_development_diagnostic,0.4104470588,1,712,712
btc_usd_1d|market_field_minus_field_transform|forward_return|h5|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,market_field_minus_field_transform,technical_24_ridge,forward_return,5,mean_absolute_error_difference,110,-9.247479222e-05,-0.001725408934,0.001500355562,0.932,499,5,False,retrospective_development_diagnostic,0.9925462304,1,712,712
btc_usd_1d|market_field_minus_field_transform|forward_return|h20|mae_difference_vs_technical_24_ridge,secondary_development_family,btc_usd_1d,BTC-USD,1D,market_field_minus_field_transform,technical_24_ridge,forward_return,20,mean_absolute_error_difference,109,0.001567340597,-0.002744144854,0.005847907225,0.462,499,5,False,retrospective_development_diagnostic,0.8306666667,1,712,712
