dataset_id,symbol,timeframe,model_id,outcome,horizon_bars,status,reason,cases
btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,forward_realized_variation,1,scored,,110
btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,forward_realized_variation,5,scored,,110
btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,forward_realized_variation,20,outcome_not_yet_observable,forward_horizon_extends_beyond_frozen_snapshot,1
btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,forward_realized_variation,20,scored,,109
btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,forward_return,1,scored,,110
btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,forward_return,5,scored,,110
btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,forward_return,20,outcome_not_yet_observable,forward_horizon_extends_beyond_frozen_snapshot,1
btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,forward_return,20,scored,,109
btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,pressure_aligned_maximum_adverse_excursion,1,scored,,110
btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,pressure_aligned_maximum_adverse_excursion,5,scored,,110
btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,pressure_aligned_maximum_adverse_excursion,20,outcome_not_yet_observable,forward_horizon_extends_beyond_frozen_snapshot,1
btc_usd_1d,BTC-USD,1D,causal_change_point_ridge,pressure_aligned_maximum_adverse_excursion,20,scored,,109
btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,forward_realized_variation,1,scored,,110
btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,forward_realized_variation,5,scored,,110
btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,forward_realized_variation,20,outcome_not_yet_observable,forward_horizon_extends_beyond_frozen_snapshot,1
btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,forward_realized_variation,20,scored,,109
btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,forward_return,1,scored,,110
btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,forward_return,5,scored,,110
btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,forward_return,20,outcome_not_yet_observable,forward_horizon_extends_beyond_frozen_snapshot,1
btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,forward_return,20,scored,,109
btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,pressure_aligned_maximum_adverse_excursion,1,scored,,110
btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,pressure_aligned_maximum_adverse_excursion,5,scored,,110
btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,pressure_aligned_maximum_adverse_excursion,20,outcome_not_yet_observable,forward_horizon_extends_beyond_frozen_snapshot,1
btc_usd_1d,BTC-USD,1D,ema_12_24_ridge,pressure_aligned_maximum_adverse_excursion,20,scored,,109
btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,forward_realized_variation,1,scored,,110
btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,forward_realized_variation,5,scored,,110
btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,forward_realized_variation,20,outcome_not_yet_observable,forward_horizon_extends_beyond_frozen_snapshot,1
btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,forward_realized_variation,20,scored,,109
btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,forward_return,1,scored,,110
btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,forward_return,5,scored,,110
btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,forward_return,20,outcome_not_yet_observable,forward_horizon_extends_beyond_frozen_snapshot,1
btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,forward_return,20,scored,,109
btc_usd_1d,BTC-USD,1D,gaussian_hmm_2state,pressure_aligned_maximum_adverse_excursion,1,scored,,110
