key,entry_type,citation_title,citation_year,identifier_type,identifier,record_title,record_year,title_match,year_match,reachable,status,note
kaufman1995smarter,book,Smarter Trading: Improving Performance in Changing Markets,1995,isbn,9780070340022,Smarter trading,1995,False,True,True,metadata_discrepancy,
wilder1978new,book,New Concepts in Technical Trading Systems,1978,isbn,9780894590276,New concepts in technical trading systems,1978,True,True,True,verified,
ehlersway2012introducing,article,Introducing {SwamiCharts}: A Modern Approach to Technical Indicator Visualization,2012,url,https://www.traders.com/Documentation/FEEDbk_docs/2012/03/Ehlers.html,,,,,True,verified_reachable,HTTP 200; title and author still require source-page review.
ehlersway2012strategies,article,Setting Strategies with {SwamiCharts}: Examining the Big Picture,2012,url,https://www.traders.com/Documentation/FEEDbk_docs/2012/04/Ehlers.html,,,,,True,verified_reachable,HTTP 200; title and author still require source-page review.
macqueen1967methods,inproceedings,Some Methods for Classification and Analysis of Multivariate Observations,1967,url,https://digicoll.lib.berkeley.edu/record/113015,,,,,True,verified_reachable,HTTP 200; title and author still require source-page review.
gonzalez1985clustering,article,Clustering to Minimize the Maximum Intercluster Distance,1985,doi,10.1016/0304-3975(85)90224-5,Clustering to minimize the maximum intercluster distance,1985,True,True,True,verified,
rousseeuw1987silhouettes,article,Silhouettes: A Graphical Aid to the Interpretation and Validation of Cluster Analysis,1987,doi,10.1016/0377-0427(87)90125-7,Silhouettes: A graphical aid to the interpretation and validation of cluster analysis,1987,True,True,True,verified,
hubertarabie1985comparing,article,Comparing Partitions,1985,doi,10.1007/BF01908075,Comparing partitions,1985,True,True,True,verified,
spearman1904association,article,The Proof and Measurement of Association between Two Things,1904,doi,10.2307/1412159,The Proof and Measurement of Association between Two Things,1904,True,True,True,verified,
amihud2002illiquidity,article,Illiquidity and Stock Returns: Cross-Section and Time-Series Effects,2002,doi,10.1016/S1386-4181(01)00024-6,Illiquidity and stock returns: cross-section and time-series effects,2002,True,True,True,verified,
benjaminihochberg1995fdr,article,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,1995,doi,10.1111/j.2517-6161.1995.tb02031.x,Controlling the False Discovery Rate: A Practical and Powerful Approach to Multiple Testing,1995,True,True,True,verified,
politisromano1994stationary,article,The Stationary Bootstrap,1994,doi,10.1080/01621459.1994.10476870,The Stationary Bootstrap,1994,True,True,True,verified,
takens1981detecting,incollection,Detecting Strange Attractors in Turbulence,1981,doi,10.1007/BFb0091924,Detecting strange attractors in turbulence,1981,True,True,True,verified,
eckmann1987recurrence,article,Recurrence Plots of Dynamical Systems,1987,doi,10.1209/0295-5075/4/9/004,Recurrence Plots of Dynamical Systems,1987,True,True,True,verified,
marwan2007recurrence,article,Recurrence Plots for the Analysis of Complex Systems,2007,doi,10.1016/j.physrep.2006.11.001,Recurrence plots for the analysis of complex systems,2007,True,True,True,verified,
fabretti2005recurrence,article,Recurrence Plot and Recurrence Quantification Analysis Techniques for Detecting a Critical Regime: Examples from Financial Market Indices,2005,doi,10.1142/S0129183105007492,RECURRENCE PLOT AND RECURRENCE QUANTIFICATION ANALYSIS TECHNIQUES FOR DETECTING A CRITICAL REGIME.,2005,False,True,True,metadata_discrepancy,
hamilton1989new,article,A New Approach to the Economic Analysis of Nonstationary Time Series and the Business Cycle,1989,doi,10.2307/1912559,A New Approach to the Economic Analysis of Nonstationary Time Series and the Business Cycle,1989,True,True,True,verified,
baiperron1998structural,article,Estimating and Testing Linear Models with Multiple Structural Changes,1998,doi,10.2307/2998540,Estimating and Testing Linear Models with Multiple Structural Changes,1998,True,True,True,verified,
adamsmackay2007bocpd,article,Bayesian Online Changepoint Detection,2007,url,https://arxiv.org/abs/0710.3742,,,,,True,verified_reachable,HTTP 200; title and author still require source-page review.
bandtpompe2002permutation,article,Permutation Entropy: A Natural Complexity Measure for Time Series,2002,doi,10.1103/PhysRevLett.88.174102,Permutation Entropy: A Natural Complexity Measure for Time Series,2002,True,True,True,verified,
mallat2012scattering,article,Group Invariant Scattering,2012,doi,10.1002/cpa.21413,Group Invariant Scattering,2012,True,True,True,verified,
andenmallat2014deep,article,Deep Scattering Spectrum,2014,doi,10.1109/TSP.2014.2326991,Deep Scattering Spectrum,2014,True,True,True,verified,
bacry2001multifractal,article,Multifractal Random Walk,2001,doi,10.1103/PhysRevE.64.026103,Multifractal random walk,2001,True,True,True,verified,
pereaharer2015sliding,article,Sliding Windows and Persistence: An Application of Topological Methods to Signal Analysis,2015,doi,10.1007/s10208-014-9206-z,Sliding Windows and Persistence: An Application of Topological Methods to Signal Analysis,2015,True,True,True,verified,
gideakatz2018tda,article,Topological Data Analysis of Financial Time Series: Landscapes of Crashes,2018,doi,10.1016/j.physa.2017.09.028,Topological data analysis of financial time series: Landscapes of crashes,2018,True,True,True,verified,
lo2000technical,article,"Foundations of Technical Analysis: Computational Algorithms, Statistical Inference, and Empirical Implementation",2000,doi,10.1111/0022-1082.00265,"Foundations of Technical Analysis: Computational Algorithms, Statistical Inference, and Empirical Implementation",2000,True,True,True,verified,
osler2003currency,article,Currency Orders and Exchange Rate Dynamics: An Explanation for the Predictive Success of Technical Analysis,2003,doi,10.1111/1540-6261.00588,Currency Orders and Exchange Rate Dynamics: An Explanation for the Predictive Success of Technical Analysis,2003,True,True,True,verified,
chungbellotti2021support,article,Evidence and Behaviour of Support and Resistance Levels in Financial Time Series,2021,url,https://arxiv.org/abs/2101.07410,,,,,True,verified_reachable,HTTP 200; title and author still require source-page review.
carrwu2009variance,article,Variance Risk Premiums,2009,doi,10.1093/rfs/hhn038,Variance Risk Premiums,2009,True,True,True,verified,
bollerslev2009variance,article,Expected Stock Returns and Variance Risk Premia,2009,doi,10.1093/rfs/hhp008,Expected Stock Returns and Variance Risk Premia,2009,True,True,True,verified,
goyalsaretto2009options,article,Cross-Section of Option Returns and Volatility,2009,doi,10.1016/j.jfineco.2009.01.001,Cross-section of option returns and volatility☆,2009,True,True,True,verified,
dieboldyilmaz2012spillovers,article,Better to Give than to Receive: Predictive Directional Measurement of Volatility Spillovers,2012,doi,10.1016/j.ijforecast.2011.02.006,Better to give than to receive: Predictive directional measurement of volatility spillovers,2012,True,True,True,verified,
barunikkrehlik2018connectedness,article,Measuring the Frequency Dynamics of Financial Connectedness and Systemic Risk,2018,doi,10.1093/jjfinec/nby001,Measuring the Frequency Dynamics of Financial Connectedness and Systemic Risk*,2018,True,True,True,verified,
lopezdeprado2018advances,book,Advances in Financial Machine Learning,2018,isbn,9781119482086,Advances in financial machine learning,2018,True,True,True,verified,
white2000reality,article,A Reality Check for Data Snooping,2000,doi,10.1111/1468-0262.00152,A Reality Check for Data Snooping,2000,True,True,True,verified,
bailey2017pbo,article,The Probability of Backtest Overfitting,2017,doi,10.21314/JCF.2016.322,The probability of backtest overfitting,2016,True,False,True,metadata_discrepancy,
harvey2016crosssection,article,{\ldots} and the Cross-Section of Expected Returns,2016,doi,10.1093/rfs/hhv059,… and the Cross-Section of Expected Returns,2016,True,True,True,verified,
cerqueira2020evaluating,article,Evaluating Time Series Forecasting Models: An Empirical Study on Performance Estimation Methods,2020,doi,10.1007/s10994-020-05910-7,Evaluating time series forecasting models: an empirical study on performance estimation methods,2020,True,True,True,verified,
