symbol,representation,forms,features,requested_warmup_bars,fit_silhouette,minimum_form_support,fit_bars,calibration_bars,evaluation_bars,tail_supported_bars,tail_rate,transitions_per_100_bars
SPY,market_field_v1,2,15,96,0.320191,40,795,397,860,860,0.1058139534883721,2.561117578579744
SPY,single_horizon_baseline,2,5,96,0.5743068993164054,40,795,397,860,860,0.027906976744186046,6.053550640279394
QQQ,market_field_v1,1,15,96,0.0,40,795,397,860,860,0.044186046511627906,0.0
QQQ,single_horizon_baseline,2,5,96,0.5494717082761863,40,795,397,860,860,0.0011627906976744186,6.169965075669383
IWM,market_field_v1,1,15,96,0.0,40,795,397,860,860,0.06627906976744186,0.0
IWM,single_horizon_baseline,2,5,96,0.4468333786805081,40,795,397,860,860,0.05930232558139535,3.958090803259604
TLT,market_field_v1,1,15,96,0.0,40,795,397,860,860,0.03255813953488372,0.0
TLT,single_horizon_baseline,3,5,96,0.3272044103285089,40,795,397,860,860,0.12790697674418605,10.011641443538998
GLD,market_field_v1,1,15,96,0.0,40,795,397,860,860,0.06627906976744186,0.0
GLD,single_horizon_baseline,2,5,96,0.384273610109339,40,795,397,860,860,0.11976744186046512,4.423748544819557
USO,market_field_v1,3,15,96,0.315458,40,795,397,860,827,0.06771463119709795,1.979045401629802
USO,single_horizon_baseline,2,5,96,0.4487668847720936,40,795,397,860,860,0.14651162790697675,9.545983701979045
VNQ,market_field_v1,1,15,96,0.0,40,795,397,860,860,0.015116279069767442,0.0
VNQ,single_horizon_baseline,2,5,96,0.46364241002351586,40,795,397,860,860,0.03255813953488372,6.053550640279394
BTC-USD,market_field_v1,1,15,96,0.0,60,1186,592,1250,1250,0.044,0.0
BTC-USD,single_horizon_baseline,2,5,96,0.3607575855148438,60,1186,592,1250,1250,0.0192,5.2842273819055245
