dataset_id,symbol,timeframe,rows,coverage_start,coverage_end,duplicate_timestamps,missing_ohlcv_cells,invalid_ohlcv_rows,monotonic_time,positive_volume_share,excluded_incomplete_rows,source_sha256
btc_usd_1d,BTC-USD,1D,749,2024-07-03T00:00:00+00:00,2026-07-21T00:00:00+00:00,0,0,0,True,1.0,1,9f3b5794efb7e0cf1fe11ae55aed41b45c71e34832a961b00b65ec8f16c935f7
gld_1d,GLD,1D,749,2023-07-26T04:00:00+00:00,2026-07-21T04:00:00+00:00,0,0,0,True,1.0,1,263b75bdbcde3ae09f493aa5cdea1d3e0e00835d07d3385de961ee684e4d6fc2
iwm_1d,IWM,1D,749,2023-07-26T04:00:00+00:00,2026-07-21T04:00:00+00:00,0,0,0,True,1.0,1,9cd32d159e612575b91e7d77d22dd443b75439c8fe54eb810f32a9cf4786ffae
qqq_1d,QQQ,1D,749,2023-07-26T04:00:00+00:00,2026-07-21T04:00:00+00:00,0,0,0,True,1.0,1,f73a9b438f5f1cddcfe0abffea2cc73b2ddacef98f20ad9f0a90198f408e872e
spy_15m,SPY,15m,499,2026-06-24T14:30:00+00:00,2026-07-22T15:30:00+00:00,0,0,0,True,1.0,1,c099b48da28368230b361f6a4a9edc60237d3f5813350b437f49a2774bcd425b
spy_1d,SPY,1D,749,2023-07-26T04:00:00+00:00,2026-07-21T04:00:00+00:00,0,0,0,True,1.0,1,55b43842d51b5effb94c61395a188d245fdd092d313160b204bb0fcf8db468e2
spy_1w,SPY,1W,499,2016-12-26T05:00:00+00:00,2026-07-13T04:00:00+00:00,0,0,0,True,1.0,1,8a8769c99d1f21be5a55efa4f961384c2602317aa31f3c12836136125f0ee08e
spy_1h,SPY,1h,499,2026-04-09T13:30:00+00:00,2026-07-22T14:30:00+00:00,0,0,0,True,1.0,1,43dcce472738972f9f11dbf91b43f99d5c6d3f37b85f1b633e4f3ddecc6420d7
spy_1m,SPY,1m,499,2026-07-21T13:59:00+00:00,2026-07-22T15:47:00+00:00,0,0,0,True,0.9959919839679359,1,6ae1e92b819426d258592a698b5ce153df846b5914f312c6c7787ee9dcdca865
spy_2h,SPY,2h,499,2026-01-20T16:30:00+00:00,2026-07-22T13:30:00+00:00,0,0,0,True,1.0,1,db04d10b1407856b7202ea36cbac63d8710c246c8f9621719287fe56c5588b14
spy_30m,SPY,30m,499,2026-05-26T19:30:00+00:00,2026-07-22T15:00:00+00:00,0,0,0,True,1.0,1,c8c4ca13dbbc10dbb6bed2f256f8787d32f8fe6dcd99bac7c10337c682dba194
spy_4h,SPY,4h,499,2025-07-21T17:30:00+00:00,2026-07-21T17:30:00+00:00,0,0,0,True,1.0,1,52391897cc5d04560a23c9208e0fcd17929967a4897cf905c1e0d873f6aa07b2
spy_5m,SPY,5m,499,2026-07-13T19:40:00+00:00,2026-07-22T15:40:00+00:00,0,0,0,True,1.0,1,9af593185f338782fdca697569585c4c13919946ec2d0e75966213f368987107
tlt_1d,TLT,1D,749,2023-07-26T04:00:00+00:00,2026-07-21T04:00:00+00:00,0,0,0,True,1.0,1,44817ec4efddd0da7d22753e086d1da001358fca3bfe1fd6dde423eaab7eef6f
uso_1d,USO,1D,749,2023-07-26T04:00:00+00:00,2026-07-21T04:00:00+00:00,0,0,0,True,1.0,1,f89e7d483e2907d31ba9b2905b53363de0944eff4f71f6e1ffab311d899452c9
