dataset_id,mode,runs,unique_hashes,deterministic,sha256
spy_1m,live_only,2,1,True,90df6b73b1b464f7a26be7e6fceab1945bf3b2b9dc4edf39c91099c10c1340a5
spy_5m,live_only,2,1,True,44bd0a0bf4dd5bafd750e20f6b83dfe454a30b37fa58b469733af3915f273eba
spy_15m,live_only,2,1,True,c5fdcbcdec7a2b8f54d5ee9e618dab92bc3241af1bffab1d627782a9528b0fd3
spy_30m,live_only,2,1,True,7163ab68d495816a9fc1fd32bbb88adbbd93c6be215b78c03f8797eeb2ab2f80
spy_1h,live_only,2,1,True,81dc2bdf69a3637ff0d966542968d2dd36e9b87ddb9fa334b91acd4447b22866
spy_2h,live_only,2,1,True,80f8bb625823bf0ee1c71792b53219d1888cbe46c2997b699f7f09890d70df6c
spy_4h,live_only,2,1,True,5b9656bda2ce41a3b9ee0b0b0f9702eacf7f307be76cb1242c388e82b104b050
spy_1d,live_only,2,1,True,675814e9480b4693c1c9d5596ebdd26149c2a4a6d91208e6a57cc17ca4444f0f
spy_1w,live_only,2,1,True,a421b70e00c9608d679e10c3be9776b47759fd937bec085ce1c4ef0e37dcb565
qqq_1d,live_only,2,1,True,da21539601ebce36d8ab8202e5314d97df507f54cf1c6223adb84938e961f706
iwm_1d,live_only,2,1,True,a1584feca3cb0564dc6ac624d07373caf8ada113ee3655376ae383bdde45f092
tlt_1d,live_only,2,1,True,8973b61edd040f117996e1943c2f820438932d6d38cff8d147fc863302fd3f30
gld_1d,live_only,2,1,True,01ce5293886c6aef19653463afee95478022f9743d12bf3d649a2c35b7dd52c1
uso_1d,live_only,2,1,True,006aaad5ed82c64f1bd1f2c413ad7d699560714777747c4bbe795cee404f2564
btc_usd_1d,live_only,2,1,True,7015a1cf9e94aad15f19331e304c7fe11b6ad5b8446e28cd487e0c7de3c67db7
spy_1d,retrospective_lexicon,3,1,True,e9814f45e7ed884981d522ebc9bf13b5ca0817d8335e2a2db09683994f13e4d3
