dataset_id,order,possible_ordinal_patterns,window_patterns,comparison_bars,entropy_mean,entropy_mae_vs_window24,entropy_correlation_vs_window24,information_mae_vs_window24,information_correlation_vs_window24
spy_1m,3,6,8,371,0.2757465022295642,0.20578859041535838,0.43567161043692193,0.148167785099058,0.4019810363327387
spy_1m,3,6,12,371,0.34256007363108226,0.1432100213434916,0.5985445649153577,0.10311121536731394,0.5815316304602585
spy_1m,3,6,24,371,0.4646647358776453,0.0,0.9999999999999998,0.0,1.0
spy_1m,3,6,48,371,0.5704392302860516,0.11413184814442882,0.6758400023964586,0.08217493066398876,0.6253509958198074
spy_1m,3,6,96,371,0.6055131360972857,0.14700550933052534,0.5191900075993151,0.10584396671797823,0.38694758511268534
spy_5m,3,6,8,371,0.29906957355261454,0.2052304226513414,0.24170925938893234,0.14776590430896583,0.2147088289198479
spy_5m,3,6,12,371,0.376372506038035,0.13553606483401365,0.42257410931633754,0.09758596668048984,0.4265544853604562
spy_5m,3,6,24,371,0.49151692049295953,0.0,1.0,0.0,1.0
spy_5m,3,6,48,371,0.5580828004668534,0.07829803157509549,0.5202283719761079,0.05637458273406874,0.504864872320455
spy_5m,3,6,96,371,0.5988473189059823,0.11032272545490229,0.3998315772536774,0.07943236232752965,0.3635902364197497
spy_15m,3,6,8,371,0.2698778664152824,0.20722311747912348,0.34446786473038793,0.1492006445849689,0.30571504620499257
spy_15m,3,6,12,371,0.33880975387345225,0.14473233841891978,0.5389953490442968,0.10420728366162223,0.5164694291408058
spy_15m,3,6,24,371,0.4524909150128249,0.0,1.0,0.0,0.9999999999999999
spy_15m,3,6,48,371,0.5337868192117089,0.10168530170168787,0.4874462682732965,0.07321341722521528,0.38584894829785105
spy_15m,3,6,96,371,0.5799457574457391,0.13414778578340394,0.40608438832432026,0.09658640576405085,0.19963794035281432
spy_30m,3,6,8,371,0.27062194974265974,0.1987240874462778,0.5038885655472425,0.14308134296132,0.453542821812
spy_30m,3,6,12,371,0.33935916750311396,0.13340867271935128,0.6725449379439206,0.09605424435793293,0.6340747352127483
spy_30m,3,6,24,371,0.45372225135209177,0.0,1.0,0.0,1.0
spy_30m,3,6,48,371,0.5400466081061429,0.09226369659652393,0.7683656183022173,0.06642986154949722,0.726777607444115
spy_30m,3,6,96,371,0.5873633940348981,0.13766066033625676,0.37521117993922126,0.09911567544210487,0.17562806795864114
spy_1h,3,6,8,371,0.28852577335261426,0.19740311956938533,0.4342475887601767,0.14213024608995745,0.40925058625284144
spy_1h,3,6,12,371,0.3599995031628226,0.13512516013546744,0.6204819933553606,0.09729011529753658,0.6079329364089423
spy_1h,3,6,24,371,0.4731405538241756,0.0,1.0,0.0,0.9999999999999999
spy_1h,3,6,48,371,0.5609945062214521,0.09849042404348189,0.5118557154225525,0.07091310531130696,0.4957320713025337
spy_1h,3,6,96,371,0.6001499874142616,0.1300364425417891,0.47621975450068305,0.09362623863008813,0.41676978209655796
spy_2h,3,6,8,371,0.2880085340103586,0.20114121258538306,0.45067381371254056,0.1448216730614758,0.44568030542416626
spy_2h,3,6,12,371,0.36544024598918234,0.128395236413123,0.6392341291168548,0.09244457021744859,0.6448888864228877
spy_2h,3,6,24,371,0.4802329678653643,0.0,1.0,0.0,1.0
spy_2h,3,6,48,371,0.5618114667846188,0.09335944241309596,0.6956066825168528,0.06721879853742908,0.6869268047776728
spy_2h,3,6,96,371,0.5945917301297229,0.11913765513365186,0.5354053648158714,0.08577911169622933,0.4840275484164865
spy_4h,3,6,8,371,0.3399550150886141,0.1989467729278543,0.562592111877455,0.14324167650805508,0.5095574723668858
spy_4h,3,6,12,371,0.4205356352658544,0.12381468473583192,0.6967734002156462,0.089146573009799,0.6575251507589202
spy_4h,3,6,24,371,0.5354978440808579,0.0,0.9999999999999998,0.0,1.0
spy_4h,3,6,48,371,0.5981375706838297,0.07217498452379488,0.6509578249972405,0.05196598885713233,0.5679687616589182
spy_4h,3,6,96,371,0.6292812069666938,0.0970875420982904,0.18388328509201124,0.06990303031076907,-0.015520355972666844
spy_1d,3,6,8,621,0.3139332745723061,0.1902871181134431,0.5439487438661564,0.13700672504167902,0.531129485887882
spy_1d,3,6,12,621,0.3904154296909736,0.12200186995737163,0.6797165684978123,0.08784134636930757,0.6755501304975495
spy_1d,3,6,24,621,0.4968430129837802,0.0,1.0,0.0,0.9999999999999999
spy_1d,3,6,48,621,0.5700547301884503,0.08563086440117428,0.7083482746026277,0.06165422236884546,0.7071565212973651
spy_1d,3,6,96,621,0.6063353146103965,0.12512732155819056,0.3023051826013823,0.0900916715218972,0.2852617900048737
spy_1w,3,6,8,371,0.29033740768361216,0.19643379025728558,0.45602499805184915,0.14143232898524563,0.4406915394805978
spy_1w,3,6,12,371,0.3630634049646388,0.132622374112904,0.630115079439542,0.0954881093612909,0.6197277368233858
spy_1w,3,6,24,371,0.4679300020118527,0.0,1.0,0.0,1.0
spy_1w,3,6,48,371,0.5417707614268373,0.097961415509219,0.519047880970646,0.0705322191666377,0.4888129714942984
spy_1w,3,6,96,371,0.587379467158675,0.1354251264308544,-0.013785125190672617,0.09750609103021517,-0.07282611249366458
