dataset_id,symbol,repetition,measurement_phase,input_bars,elapsed_ms,payload_bytes,rank_influence,automated_execution_enabled
spy_1d,SPY,0,first_measured,365,111.21130001265556,4407,0.0,False
spy_1d,SPY,1,warm,365,107.72580001503229,4407,0.0,False
spy_1d,SPY,2,warm,365,107.11290000472218,4407,0.0,False
spy_1d,SPY,3,warm,365,108.44019998330623,4407,0.0,False
spy_1d,SPY,4,warm,365,107.53329994622618,4407,0.0,False
spy_1d,SPY,5,warm,365,107.43480001110584,4407,0.0,False
spy_1d,SPY,6,warm,365,108.27309999149293,4407,0.0,False
spy_1d,SPY,7,warm,365,111.25249997712672,4407,0.0,False
spy_1d,SPY,8,warm,365,114.28280000109226,4407,0.0,False
spy_1d,SPY,9,warm,365,110.88539997581393,4407,0.0,False
qqq_1d,QQQ,0,first_measured,365,111.72599997371435,4401,0.0,False
qqq_1d,QQQ,1,warm,365,113.51769999600947,4401,0.0,False
qqq_1d,QQQ,2,warm,365,118.92729997634888,4401,0.0,False
qqq_1d,QQQ,3,warm,365,111.79360002279282,4401,0.0,False
qqq_1d,QQQ,4,warm,365,134.99210006557405,4401,0.0,False
qqq_1d,QQQ,5,warm,365,117.08849994465709,4401,0.0,False
qqq_1d,QQQ,6,warm,365,112.45330004021525,4401,0.0,False
qqq_1d,QQQ,7,warm,365,112.79299994930625,4401,0.0,False
qqq_1d,QQQ,8,warm,365,110.43410003185272,4401,0.0,False
qqq_1d,QQQ,9,warm,365,115.22259993944317,4401,0.0,False
iwm_1d,IWM,0,first_measured,365,110.63600005581975,4405,0.0,False
iwm_1d,IWM,1,warm,365,133.75149993225932,4405,0.0,False
iwm_1d,IWM,2,warm,365,110.08230003062636,4405,0.0,False
iwm_1d,IWM,3,warm,365,109.93439995218068,4405,0.0,False
iwm_1d,IWM,4,warm,365,110.42500007897615,4405,0.0,False
iwm_1d,IWM,5,warm,365,117.65160004142672,4405,0.0,False
iwm_1d,IWM,6,warm,365,111.19240010157228,4405,0.0,False
iwm_1d,IWM,7,warm,365,110.55230000056326,4405,0.0,False
iwm_1d,IWM,8,warm,365,110.88729999028146,4405,0.0,False
iwm_1d,IWM,9,warm,365,109.58799999207258,4405,0.0,False
tlt_1d,TLT,0,first_measured,365,116.02770001627505,4418,0.0,False
tlt_1d,TLT,1,warm,365,150.80279996618629,4418,0.0,False
tlt_1d,TLT,2,warm,365,109.8573999479413,4418,0.0,False
tlt_1d,TLT,3,warm,365,118.18600003607571,4418,0.0,False
tlt_1d,TLT,4,warm,365,119.78890001773834,4418,0.0,False
tlt_1d,TLT,5,warm,365,109.99229992739856,4418,0.0,False
tlt_1d,TLT,6,warm,365,112.02180001419038,4418,0.0,False
tlt_1d,TLT,7,warm,365,111.8927999632433,4418,0.0,False
tlt_1d,TLT,8,warm,365,181.58600002061576,4418,0.0,False
tlt_1d,TLT,9,warm,365,179.8123000189662,4418,0.0,False
gld_1d,GLD,0,first_measured,365,179.27680001594126,4409,0.0,False
gld_1d,GLD,1,warm,365,181.6214999416843,4409,0.0,False
gld_1d,GLD,2,warm,365,174.75529992952943,4409,0.0,False
gld_1d,GLD,3,warm,365,175.74259999673814,4409,0.0,False
gld_1d,GLD,4,warm,365,150.7950999075547,4409,0.0,False
gld_1d,GLD,5,warm,365,118.51940001361072,4409,0.0,False
gld_1d,GLD,6,warm,365,114.38199994154274,4409,0.0,False
gld_1d,GLD,7,warm,365,112.98080009873956,4409,0.0,False
gld_1d,GLD,8,warm,365,111.80220008827746,4409,0.0,False
gld_1d,GLD,9,warm,365,110.06510001607239,4409,0.0,False
uso_1d,USO,0,first_measured,365,114.01809996459633,4420,0.0,False
uso_1d,USO,1,warm,365,110.31090002506971,4420,0.0,False
uso_1d,USO,2,warm,365,111.61050002556294,4420,0.0,False
uso_1d,USO,3,warm,365,111.45569989457726,4420,0.0,False
uso_1d,USO,4,warm,365,112.90750000625849,4420,0.0,False
uso_1d,USO,5,warm,365,110.73690000921488,4420,0.0,False
uso_1d,USO,6,warm,365,113.09200001414865,4420,0.0,False
uso_1d,USO,7,warm,365,111.63920001126826,4420,0.0,False
uso_1d,USO,8,warm,365,111.30340001545846,4420,0.0,False
uso_1d,USO,9,warm,365,110.7105000410229,4420,0.0,False
btc_usd_1d,BTC-USD,0,first_measured,365,108.77779999282211,4400,0.0,False
btc_usd_1d,BTC-USD,1,warm,365,116.73850007355213,4400,0.0,False
btc_usd_1d,BTC-USD,2,warm,365,109.32530008722097,4400,0.0,False
btc_usd_1d,BTC-USD,3,warm,365,110.70690001361072,4400,0.0,False
btc_usd_1d,BTC-USD,4,warm,365,108.97479997947812,4400,0.0,False
btc_usd_1d,BTC-USD,5,warm,365,123.75989998690784,4400,0.0,False
btc_usd_1d,BTC-USD,6,warm,365,112.15049994643778,4400,0.0,False
btc_usd_1d,BTC-USD,7,warm,365,110.91130005661398,4400,0.0,False
btc_usd_1d,BTC-USD,8,warm,365,110.75400002300739,4400,0.0,False
btc_usd_1d,BTC-USD,9,warm,365,158.71160000097007,4400,0.0,False
