dataset_id,audit_kind,cutoff_bars,total_bars,channel_max_abs_error,derivative_max_abs_error,strata_max_abs_error,carrier_max_abs_error,carrier_ratio_max_abs_error,overall_max_abs_error,channel_comparisons,derivative_comparisons,strata_comparisons,carrier_comparisons,carrier_ratio_comparisons,numeric_value_comparisons,tolerance,passes_tolerance
spy_1m,historical_prefix,299,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_1m,historical_prefix,399,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_1m,historical_prefix,474,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_5m,historical_prefix,299,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_5m,historical_prefix,399,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_5m,historical_prefix,474,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_15m,historical_prefix,299,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_15m,historical_prefix,399,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_15m,historical_prefix,474,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_30m,historical_prefix,299,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_30m,historical_prefix,399,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_30m,historical_prefix,474,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_1h,historical_prefix,299,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_1h,historical_prefix,399,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_1h,historical_prefix,474,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_2h,historical_prefix,299,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_2h,historical_prefix,399,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_2h,historical_prefix,474,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_4h,historical_prefix,299,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_4h,historical_prefix,399,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_4h,historical_prefix,474,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_1d,historical_prefix,449,749,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_1d,historical_prefix,599,749,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_1d,historical_prefix,712,749,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_1w,historical_prefix,299,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_1w,historical_prefix,399,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
spy_1w,historical_prefix,474,499,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
qqq_1d,historical_prefix,449,749,0.0,0.0,0.0,0.0,0.0,0.0,513,5,7,4,3,532,1e-12,True
